"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0K530","2019-09-11 00:00:00","12.000","169.000","1.500","25.500","0.850","1010.500","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","25.500",""
"C0V750","2019-09-11 00:00:00","50.000","91.000","0.800","25.300","1.000","1007.500","-99.000","41.500","-99.000","-99.000","-99.000","30.800","","24.700",""
"C0M830","2019-09-11 00:00:00","540.000","16.000","0.700","21.700","0.990","953.800","-99.000","0.500","-99.000","-99.000","-99.000","28.200","","21.600",""
"C0T790","2019-09-11 00:00:00","2830.000","124.000","2.900","10.700","0.990","730.800","-99.000","0.000","-99.000","-99.000","-99.000","15.600","","9.100",""
"C0S730","2019-09-11 00:00:00","110.000","25.000","4.900","26.400","0.920","1000.500","-99.000","16.000","-99.000","-99.000","-99.000","27.800","","23.200",""
"C0F0D0","2019-09-11 00:00:00","3171.000","121.000","0.400","10.600","0.750","701.600","-99.000","0.000","-99.000","-99.000","-99.000","16.300","","7.600",""
"C0SA20","2019-09-11 00:00:00","857.000","344.000","1.400","20.500","1.000","919.500","-99.000","1.000","-99.000","-99.000","-99.000","23.700","","20.300",""
"CM0140","2019-09-11 00:00:00","26.000","336.000","0.800","26.700","0.770","1011.000","-99.000","5.500","-99.000","-99.000","-99.000","29.800","","25.700",""
"C0AC80","2019-09-11 00:00:00","40.000","86.000","2.900","29.100","0.670","1006.700","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","23.700",""
"C0M810","2019-09-11 00:00:00","1354.000","173.000","0.600","19.300","0.940","867.500","-99.000","2.500","-99.000","-99.000","-99.000","21.500","","18.300",""
"C0I360","2019-09-11 00:00:00","300.000","75.000","0.800","24.800","0.880","977.600","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","24.400",""
"C0C620","2019-09-11 00:00:00","19.000","106.000","3.100","28.700","0.690","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","23.300",""
"C0G790","2019-09-11 00:00:00","27.000","169.000","0.900","27.600","0.900","1010.500","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","27.000",""
"C0M850","2019-09-11 00:00:00","695.000","0.000","0.000","21.300","0.990","935.000","-99.000","9.500","-99.000","-99.000","-99.000","26.600","","21.300",""
"C0UA20","2019-09-11 00:00:00","2619.000","206.000","2.600","11.500","0.940","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","19.200","","9.600",""
"C0F9V0","2019-09-11 00:00:00","525.000","269.000","0.600","23.800","0.950","953.200","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","23.700",""
"C0T900","2019-09-11 00:00:00","160.000","268.000","0.500","24.900","0.870","994.200","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","23.600",""
"C0K440","2019-09-11 00:00:00","35.000","175.000","2.300","25.000","0.910","1008.100","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","25.000",""
"C0Z250","2019-09-11 00:00:00","1124.000","305.000","0.600","19.400","0.990","892.500","-99.000","0.000","-99.000","-99.000","-99.000","26.200","","17.600",""
"C0F0A0","2019-09-11 00:00:00","3587.000","272.000","2.100","8.800","0.710","667.800","-99.000","0.000","-99.000","-99.000","-99.000","11.500","","2.800",""
"C0G860","2019-09-11 00:00:00","45.000","168.000","0.900","27.300","0.850","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","27.300",""
"C0V790","2019-09-11 00:00:00","410.000","37.000","2.900","22.600","0.980","965.900","-99.000","0.500","-99.000","-99.000","-99.000","28.500","","22.600",""
"C0V740","2019-09-11 00:00:00","60.000","322.000","1.400","24.100","1.000","1006.400","-99.000","29.500","-99.000","-99.000","-99.000","30.900","","24.100",""
"C0Z200","2019-09-11 00:00:00","153.000","0.000","0.200","25.400","0.990","997.500","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","22.900",""
"C0K520","2019-09-11 00:00:00","10.000","169.000","1.300","24.700","0.890","1009.900","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","24.700",""
"C0X250","2019-09-11 00:00:00","33.000","172.000","1.000","24.700","0.970","1008.400","-99.000","8.000","-99.000","-99.000","-99.000","31.600","","23.600",""
"C0S940","2019-09-11 00:00:00","150.000","348.000","0.500","25.700","0.890","996.300","-99.000","7.500","-99.000","-99.000","-99.000","29.900","","23.900",""
"CM0110","2019-09-11 00:00:00","7.000","221.000","1.100","26.900","0.770","1010.900","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","26.900",""
"C0A970","2019-09-11 00:00:00","96.000","161.000","7.000","25.600","0.990","1002.600","-99.000","12.000","-99.000","-99.000","-99.000","32.300","","25.000",""
"C0M700","2019-09-11 00:00:00","150.000","79.000","0.600","23.900","0.960","995.800","-99.000","19.500","-99.000","-99.000","-99.000","29.200","","23.600",""
"C0U990","2019-09-11 00:00:00","31.000","348.000","1.500","27.300","0.830","1010.100","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","25.000",""
"C0D590","2019-09-11 00:00:00","143.000","232.000","0.700","26.800","0.910","995.900","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","24.300",""
"C0S790","2019-09-11 00:00:00","236.000","337.000","0.700","23.900","0.920","988.200","-99.000","1.000","-99.000","-99.000","-99.000","29.300","","23.400",""
"C0A570","2019-09-11 00:00:00","360.000","79.000","4.100","26.000","0.750","972.200","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","21.000",""
"C0M800","2019-09-11 00:00:00","440.000","0.000","0.000","21.700","0.980","964.000","-99.000","7.500","-99.000","-99.000","-99.000","28.100","","21.700",""
